STD_ID,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,MathScore,ReadingScore,WritingScore
136,male,group D,some high school,standard,none,married,regularly,no,3,school_bus,88,81,76
137,female,group C,some college,standard,none,married,sometimes,yes,5,school_bus,72,72,71
138,male,group D,high school,standard,none,single,regularly,yes,0,school_bus,58,50,55
139,female,group C,some college,standard,completed,married,regularly,yes,3,school_bus,93,97,98
140,female,group B,bachelor's degree,standard,none,married,sometimes,yes,2,school_bus,67,86,83
141,male,group E,some high school,standard,none,divorced,sometimes,yes,3,school_bus,94,88,79
142,male,group C,bachelor's degree,standard,completed,married,sometimes,no,3,school_bus,85,83,85
143,male,group D,associate's degree,standard,none,married,regularly,no,1,school_bus,84,77,80
144,male,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,2,school_bus,62,65,67
145,male,group B,some college,standard,none,married,regularly,yes,2,private,57,53,53
146,female,group E,bachelor's degree,standard,none,single,regularly,no,4,private,82,84,85
147,male,group D,some high school,standard,none,divorced,regularly,yes,1,school_bus,74,73,69
148,male,group C,associate's degree,standard,none,married,sometimes,no,3,private,82,74,69
149,female,group B,high school,standard,completed,single,sometimes,yes,1,private,58,70,68
150,female,group B,high school,standard,none,married,sometimes,yes,2,private,63,63,60
151,male,group A,some high school,standard,completed,single,sometimes,yes,2,school_bus,47,49,49
152,female,group B,some high school,standard,completed,single,sometimes,yes,3,private,60,70,70
153,male,group D,high school,standard,none,married,sometimes,yes,0,private,54,52,52
154,female,group E,some college,standard,none,single,sometimes,no,1,school_bus,62,73,70
155,female,group C,associate's degree,free/reduced,none,single,sometimes,no,5,private,62,71,66
156,female,group C,some high school,free/reduced,completed,married,sometimes,yes,1,private,65,80,78
157,male,group C,some college,standard,completed,married,sometimes,no,2,school_bus,79,79,78
158,female,group C,some high school,free/reduced,none,married,regularly,no,2,private,45,50,52
159,female,group E,high school,standard,none,single,sometimes,yes,1,private,99,93,90
160,male,group D,high school,standard,none,married,sometimes,no,2,private,76,73,68
161,male,group D,some high school,free/reduced,none,divorced,sometimes,no,1,school_bus,57,41,40
162,female,group D,high school,standard,none,married,regularly,no,3,school_bus,71,73,78
163,female,group D,associate's degree,standard,completed,married,regularly,yes,5,school_bus,93,94,99
164,male,group C,bachelor's degree,standard,none,married,sometimes,yes,2,school_bus,69,63,61
165,female,group D,associate's degree,free/reduced,none,single,regularly,yes,2,private,48,53,59
166,female,group D,some college,standard,none,married,sometimes,no,2,private,65,70,71
167,male,group C,bachelor's degree,standard,none,married,sometimes,no,3,school_bus,83,78,73
168,female,group C,some high school,standard,completed,married,sometimes,yes,3,private,82,90,91
169,female,group C,some high school,free/reduced,none,married,sometimes,yes,1,school_bus,65,86,80
170,male,group B,bachelor's degree,free/reduced,none,widowed,sometimes,no,2,school_bus,73,56,57
171,female,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,3,school_bus,75,80,86
172,male,group B,associate's degree,standard,completed,married,never,yes,3,school_bus,78,80,79
173,male,group E,associate's degree,standard,completed,married,regularly,yes,0,private,99,83,90
174,female,group B,some high school,standard,none,married,sometimes,no,1,school_bus,64,87,80
175,male,group C,associate's degree,standard,none,married,sometimes,no,2,school_bus,76,70,68
176,male,group D,some high school,standard,none,married,sometimes,yes,2,private,83,71,68
177,male,group C,some high school,standard,completed,married,never,yes,1,private,61,59,55
178,male,group D,high school,free/reduced,completed,single,regularly,yes,3,school_bus,80,78,82
179,male,group B,associate's degree,free/reduced,none,married,never,yes,1,school_bus,66,61,59
180,male,group A,some college,free/reduced,completed,married,never,yes,2,private,76,75,77
181,female,group C,associate's degree,standard,completed,single,never,yes,5,school_bus,66,83,80
182,male,group B,associate's degree,standard,none,married,regularly,yes,1,school_bus,82,77,65
183,female,group C,associate's degree,standard,completed,married,regularly,yes,2,school_bus,76,76,85
184,male,group E,some college,standard,completed,divorced,regularly,yes,5,private,100,88,83
185,female,group B,associate's degree,free/reduced,none,married,regularly,no,3,private,56,73,70
186,female,group B,associate's degree,standard,none,married,sometimes,no,2,school_bus,73,76,80
187,male,group B,bachelor's degree,standard,none,married,never,yes,3,school_bus,62,58,54
188,female,group C,associate's degree,free/reduced,completed,single,sometimes,yes,2,private,70,68,70
189,male,group C,high school,standard,none,married,regularly,no,3,private,73,66,66
190,female,group D,master's degree,standard,completed,widowed,never,yes,3,private,74,80,88
191,male,group C,associate's degree,standard,none,single,sometimes,no,1,school_bus,83,72,78
192,female,group D,associate's degree,free/reduced,none,single,regularly,no,1,school_bus,55,64,63
193,female,group E,high school,standard,none,married,never,no,3,private,74,85,78
194,female,group C,some college,standard,none,married,regularly,yes,2,private,70,80,80
195,female,group C,some high school,free/reduced,none,married,sometimes,yes,5,private,40,52,51
196,female,group C,some college,standard,none,single,sometimes,yes,3,school_bus,82,90,94
197,male,group C,some college,standard,none,married,sometimes,yes,1,school_bus,61,61,62
198,male,group A,some college,free/reduced,none,married,regularly,yes,2,school_bus,29,23,19
199,male,group C,associate's degree,standard,completed,married,sometimes,yes,5,school_bus,82,75,77
200,female,group B,some high school,standard,none,married,sometimes,yes,2,school_bus,39,54,49
201,male,group E,associate's degree,standard,completed,married,never,no,3,school_bus,61,55,52
202,male,group B,associate's degree,standard,none,single,sometimes,yes,1,school_bus,90,78,81
203,female,group B,some high school,free/reduced,none,single,sometimes,no,3,school_bus,23,37,26
204,female,group D,some high school,free/reduced,completed,married,sometimes,yes,3,school_bus,35,55,60
205,male,group C,high school,free/reduced,none,married,regularly,yes,1,school_bus,61,62,54
206,male,group D,associate's degree,standard,completed,single,sometimes,yes,3,private,64,70,65
207,female,group C,high school,standard,none,married,sometimes,yes,4,private,72,80,75
208,male,group E,associate's degree,standard,none,divorced,regularly,yes,2,private,92,76,79
209,female,group B,bachelor's degree,standard,none,married,sometimes,yes,0,private,52,65,69
210,female,group C,some college,standard,completed,married,sometimes,no,1,school_bus,61,76,78
211,female,group C,associate's degree,standard,none,married,regularly,no,1,private,45,57,57
212,female,group B,bachelor's degree,standard,none,single,regularly,no,3,school_bus,64,74,73
213,female,group C,some college,free/reduced,completed,married,sometimes,yes,1,private,40,65,67
214,female,group D,some college,standard,none,divorced,sometimes,no,1,private,77,88,87
215,female,group B,high school,standard,none,married,never,yes,1,school_bus,56,61,57
216,male,group B,some high school,standard,completed,single,regularly,yes,3,private,87,85,79
217,female,group C,some college,standard,none,single,regularly,no,2,private,53,58,59
218,female,group D,some high school,free/reduced,none,single,sometimes,no,3,school_bus,26,33,31
219,male,group C,some college,standard,none,divorced,regularly,yes,1,school_bus,60,60,59
220,male,group A,bachelor's degree,free/reduced,completed,married,regularly,no,2,private,51,59,62
221,female,group A,some high school,free/reduced,none,single,sometimes,yes,2,private,44,64,58
222,female,group D,some high school,standard,none,single,regularly,yes,5,school_bus,71,83,84
223,male,group E,some college,standard,none,married,regularly,yes,3,private,86,78,72
224,female,group C,some college,free/reduced,completed,single,sometimes,no,4,school_bus,45,73,70
225,male,group D,some high school,standard,none,single,sometimes,yes,0,private,76,75,73
226,female,group D,some college,standard,completed,married,sometimes,yes,1,private,84,98,97
227,female,group D,some high school,standard,none,single,sometimes,no,2,school_bus,82,91,83
228,female,group A,some high school,standard,none,single,sometimes,no,1,private,73,84,78
229,male,group A,bachelor's degree,standard,none,married,regularly,yes,1,private,67,64,63
230,female,group B,associate's degree,standard,none,single,sometimes,yes,1,school_bus,80,86,83
231,male,group C,associate's degree,standard,completed,divorced,sometimes,yes,0,private,84,98,93
232,female,group E,some high school,free/reduced,none,divorced,regularly,yes,3,private,40,50,47
233,female,group A,some high school,free/reduced,none,divorced,never,no,5,private,35,41,40
234,female,group E,some college,standard,none,divorced,regularly,yes,2,private,69,77,76
235,female,group E,bachelor's degree,standard,none,single,sometimes,yes,0,school_bus,62,71,68
236,female,group D,high school,standard,none,single,sometimes,yes,3,private,62,64,64
237,male,group D,master's degree,standard,none,married,sometimes,no,1,school_bus,71,70,75
238,male,group E,some high school,free/reduced,completed,single,regularly,yes,0,private,75,68,60
239,female,group D,some college,standard,none,single,sometimes,no,3,private,74,66,75
240,male,group E,some college,standard,none,married,sometimes,yes,3,school_bus,78,68,68
241,male,group C,associate's degree,standard,completed,divorced,regularly,yes,4,private,60,55,58
242,female,group B,high school,free/reduced,none,married,never,no,5,school_bus,48,65,61
243,male,group B,some high school,standard,none,single,regularly,yes,0,school_bus,73,62,57
244,male,group D,some high school,standard,none,single,never,no,4,private,56,57,51
245,female,group C,some high school,standard,completed,married,regularly,yes,3,private,60,54,68
246,female,group A,some college,free/reduced,none,married,regularly,no,2,school_bus,51,66,57
247,female,group D,high school,standard,completed,single,sometimes,yes,4,private,88,99,100
248,female,group C,high school,standard,none,single,regularly,yes,0,school_bus,55,59,63
249,male,group B,associate's degree,standard,completed,married,regularly,no,3,school_bus,68,66,65
250,female,group D,high school,free/reduced,completed,divorced,sometimes,no,2,school_bus,52,57,56
251,male,group D,associate's degree,standard,completed,widowed,never,no,5,school_bus,86,83,84
252,male,group E,high school,standard,none,single,regularly,no,3,private,86,74,70
253,male,group C,bachelor's degree,standard,completed,married,sometimes,yes,3,private,68,72,66
254,male,group D,some college,standard,none,married,regularly,no,4,private,70,59,63
255,male,group E,high school,free/reduced,completed,married,sometimes,no,3,private,57,56,54
256,female,group D,master's degree,free/reduced,completed,divorced,never,yes,0,private,47,59,68
257,male,group C,bachelor's degree,standard,none,married,regularly,yes,2,school_bus,88,84,88
258,male,group C,some high school,free/reduced,none,single,regularly,yes,0,private,71,72,66
259,male,group C,some high school,free/reduced,none,married,sometimes,no,3,school_bus,70,63,55
260,male,group C,high school,standard,none,single,never,yes,4,school_bus,57,54,52
261,male,group D,associate's degree,standard,none,married,regularly,yes,3,school_bus,77,69,65
262,female,group A,some high school,free/reduced,none,married,sometimes,yes,2,school_bus,59,73,69
263,male,group A,some high school,free/reduced,none,married,sometimes,yes,0,school_bus,79,82,73
264,male,group C,high school,standard,completed,single,regularly,yes,2,school_bus,91,83,83
265,male,group B,high school,standard,none,widowed,regularly,yes,4,school_bus,48,46,43
266,female,group C,some college,free/reduced,completed,divorced,sometimes,yes,3,private,64,85,85
267,female,group C,associate's degree,free/reduced,none,married,regularly,no,1,school_bus,68,79,77
268,male,group C,some college,free/reduced,none,married,never,yes,3,private,64,57,48
269,male,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,0,school_bus,37,56,47
270,female,group D,bachelor's degree,standard,none,divorced,sometimes,no,3,school_bus,79,89,89
271,male,group C,bachelor's degree,free/reduced,none,married,regularly,no,1,private,52,57,55
272,male,group B,some college,free/reduced,none,married,sometimes,yes,1,school_bus,54,54,45
273,female,group E,some college,standard,none,divorced,never,no,1,private,68,68,74
274,female,group C,some college,free/reduced,none,widowed,sometimes,yes,4,school_bus,77,90,91
275,female,group D,associate's degree,free/reduced,none,divorced,sometimes,no,1,school_bus,26,31,38
276,male,group A,high school,free/reduced,completed,married,regularly,no,7,school_bus,76,69,67
277,female,group A,high school,free/reduced,completed,single,regularly,yes,3,private,79,89,87
278,female,group C,associate's degree,standard,completed,divorced,sometimes,no,1,private,83,85,90
279,female,group C,associate's degree,standard,completed,married,sometimes,yes,4,school_bus,68,86,84
280,female,group D,some high school,standard,none,married,sometimes,no,5,private,57,66,60
281,male,group E,bachelor's degree,standard,completed,single,sometimes,yes,2,school_bus,76,62,66
282,female,group D,master's degree,standard,none,single,never,yes,1,private,53,64,70
283,male,group E,associate's degree,standard,none,single,sometimes,yes,4,school_bus,78,72,68
284,male,group B,high school,standard,completed,married,sometimes,yes,1,private,73,71,68
285,male,group A,high school,standard,none,divorced,sometimes,yes,2,private,59,52,46
286,female,group B,associate's degree,standard,none,single,regularly,no,3,school_bus,48,51,54
287,male,group D,some college,free/reduced,none,married,sometimes,yes,3,private,61,47,56
288,male,group B,some high school,standard,completed,divorced,regularly,yes,1,school_bus,65,53,58
289,female,group A,associate's degree,free/reduced,none,married,regularly,no,1,school_bus,64,84,76
290,female,group C,some college,standard,none,married,sometimes,no,1,school_bus,83,83,90
291,female,group C,bachelor's degree,standard,none,married,sometimes,yes,6,school_bus,78,86,88
292,female,group B,high school,standard,none,divorced,regularly,yes,2,school_bus,53,63,68
293,male,group D,high school,standard,completed,divorced,sometimes,yes,4,private,68,64,66
294,female,group C,some college,standard,none,married,regularly,no,3,school_bus,53,47,52
295,male,group E,some college,standard,none,married,sometimes,yes,3,school_bus,73,69,70
296,female,group D,master's degree,standard,none,married,sometimes,yes,2,school_bus,74,80,84
297,female,group B,associate's degree,standard,completed,married,sometimes,yes,0,private,91,85,90
298,female,group E,associate's degree,standard,completed,married,regularly,yes,3,school_bus,100,91,96
299,female,group D,master's degree,free/reduced,none,single,regularly,yes,1,private,41,61,57
300,female,group B,some high school,standard,none,married,sometimes,yes,3,school_bus,79,80,78
301,male,group A,high school,standard,none,married,regularly,yes,1,school_bus,70,71,67
302,female,group C,bachelor's degree,standard,none,married,regularly,no,1,private,88,93,89
303,male,group D,some high school,free/reduced,none,married,regularly,no,2,school_bus,61,48,52
304,female,group B,some high school,standard,completed,divorced,regularly,yes,3,private,55,61,63
305,female,group B,master's degree,free/reduced,completed,single,sometimes,yes,3,school_bus,77,97,94
306,female,group C,some high school,standard,completed,married,sometimes,no,1,private,76,87,85
307,female,group E,some college,standard,completed,divorced,never,yes,1,school_bus,64,72,71
308,female,group D,some high school,standard,completed,single,regularly,no,1,school_bus,67,79,79
309,female,group B,high school,free/reduced,completed,married,sometimes,no,5,school_bus,67,78,79
310,female,group C,associate's degree,standard,none,single,sometimes,yes,4,private,91,86,84
311,male,group C,some high school,free/reduced,completed,single,sometimes,yes,4,school_bus,54,60,58
312,female,group D,bachelor's degree,free/reduced,none,single,sometimes,no,2,private,28,40,46
313,female,group C,associate's degree,standard,none,married,never,no,1,private,60,72,68
314,female,group C,some high school,standard,none,married,never,yes,2,private,45,53,51
315,male,group E,associate's degree,standard,completed,single,sometimes,yes,2,school_bus,60,60,56
316,female,group E,associate's degree,standard,completed,married,sometimes,no,4,school_bus,79,88,94
317,male,group B,high school,standard,completed,married,sometimes,no,1,school_bus,75,70,69
318,female,group C,bachelor's degree,free/reduced,completed,married,sometimes,yes,5,private,66,83,83
319,female,group D,high school,standard,none,married,never,yes,1,school_bus,49,65,60
320,male,group A,associate's degree,standard,completed,married,sometimes,no,3,school_bus,99,93,87
321,male,group C,high school,standard,completed,married,sometimes,no,1,private,75,69,68
322,female,group D,associate's degree,standard,none,single,regularly,no,2,private,86,97,93
323,male,group E,some high school,free/reduced,completed,married,regularly,yes,1,school_bus,80,84,82
324,female,group A,some high school,standard,completed,married,sometimes,yes,3,school_bus,92,100,97
325,male,group C,high school,standard,completed,divorced,regularly,yes,2,private,71,66,64
326,female,group C,high school,free/reduced,none,married,regularly,no,5,school_bus,61,66,64
327,male,group C,master's degree,standard,none,married,sometimes,yes,1,school_bus,77,72,69
328,male,group B,bachelor's degree,free/reduced,completed,married,regularly,no,2,private,89,91,90
329,male,group D,some college,free/reduced,none,married,regularly,no,2,private,79,62,65
330,male,group E,associate's degree,standard,none,divorced,regularly,yes,1,private,56,46,41
331,male,group C,master's degree,free/reduced,none,single,regularly,yes,1,school_bus,63,69,69
332,female,group B,associate's degree,free/reduced,none,single,sometimes,no,2,school_bus,51,68,68
333,male,group D,some high school,standard,none,married,sometimes,yes,2,school_bus,75,66,63
334,female,group C,some college,standard,none,single,regularly,yes,3,school_bus,66,76,77
335,male,group C,bachelor's degree,standard,completed,married,regularly,no,2,school_bus,95,89,92
336,male,group B,associate's degree,standard,none,divorced,sometimes,no,2,school_bus,46,42,44
337,female,group E,bachelor's degree,free/reduced,completed,single,never,no,4,private,89,98,97
338,male,group B,high school,free/reduced,none,married,regularly,yes,6,private,62,47,47
339,male,group A,bachelor's degree,standard,none,married,never,yes,1,school_bus,88,94,89
340,male,group A,some college,standard,completed,married,sometimes,yes,0,school_bus,61,51,52
341,female,group B,high school,standard,none,married,sometimes,yes,1,school_bus,78,89,87
342,female,group B,some college,free/reduced,completed,single,sometimes,no,1,school_bus,49,56,59
343,female,group D,master's degree,standard,none,married,regularly,no,3,school_bus,52,60,68
344,female,group D,some high school,standard,none,married,sometimes,no,2,school_bus,78,95,94
345,female,group E,some high school,standard,none,divorced,never,yes,3,school_bus,74,77,78
346,female,group D,bachelor's degree,free/reduced,none,widowed,sometimes,yes,1,school_bus,63,73,78
347,female,group A,high school,standard,none,married,sometimes,yes,3,school_bus,55,73,73
348,female,group C,bachelor's degree,free/reduced,none,married,regularly,yes,1,school_bus,43,62,62
349,male,group C,some college,free/reduced,none,widowed,sometimes,no,3,private,56,56,52
350,female,group C,bachelor's degree,standard,completed,married,regularly,no,2,private,94,100,100
351,female,group C,bachelor's degree,standard,completed,married,sometimes,yes,1,school_bus,57,80,73
352,male,group B,high school,free/reduced,none,married,regularly,no,2,school_bus,30,24,15
353,female,group D,high school,standard,none,married,sometimes,yes,4,school_bus,71,78,74
